"Timestamp","Q1. Which area of the city do you reside in?  "," Q2. What best describes your current place of residence?  "," Q3. Which of the following best describes your current occupation?  ","Q4. What is your family/household size?  ","Q5. Do you currently have primary responsibility for hiring or managing household help/repairs?  ","Q6. How do you usually find a local service provider (electrician, plumber, painter, etc.)?","Q7. On average, how often does your household require a professional for repairs or maintenance? ","Q8. What is your primary concern when hiring a worker you don't know personally? ","Q9. On a scale of 1-5, how much do you trust a worker you found via a local shop or ""Labor Chowk""? ","Q10. How do you currently verify the background or identity of a new worker before they enter your home?","Q11. If a service provider could provide a ""Verified Work Identity"" (Government ID + Criminal Background Check), would it influence your hiring decision?  ","Q12. Would you be willing to pay a small ""Trust Premium"" (e.g., ₹20-₹30) per visit to ensure the worker is fully background-verified? ","Q13. How important is it for you to see a worker’s previous ratings and reviews before hiring? ","Q14. Would you be interested in trying a student-led initiative that simplifies finding verified local help?"
"2026/02/17 11:54:28 AM GMT+5:30","Posh Residential Areas","Independent House","Business Owner/ Entrepreneur","5+ Members","Yes, I handle it myself.","I have a fixed person I always call","Once every 2-3 months","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency);Punctuality;Unprofessional behavior or language","2","","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/17 12:52:40 PM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","Living Alone","Yes, I handle it myself.","Apps (Justdial/ Urban Company)","More than once a month","Personal Safety/Home Security;Quality of Work (Skill level);Overpricing (Lack of transparency);Punctuality;Unprofessional behavior or language","3","","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/17 12:58:15 PM GMT+5:30","Developing/ Outer Colonies","Independent House","Student","5+ Members","I share the responsibility with family members.","I have a fixed person I always call","Once every 2-3 months","Quality of Work (Skill level);Overpricing (Lack of transparency)","4","","Maybe, if the price is same","Only for major repairs","3","Yes"
"2026/02/17 1:04:12 PM GMT+5:30","Posh Residential Areas","Independent House","Working Professional (Full-time/ Part-time)","Living Alone","Yes, I handle it myself.","Local Labor Chowk or nearby shops","Once every 2-3 months","Overpricing (Lack of transparency)","3","Hsbs s ","Yes, definitely","Yes, for peace of mind","3","Yes"
"2026/02/17 1:04:56 PM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","Living Alone","I share the responsibility with family members.","Existing WhatsApp Communities","More than once a month","Quality of Work (Skill level)","3","","Maybe, if the price is same","Only for major repairs","2","Yes"
"2026/02/17 10:12:08 PM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","2-4 Members","Yes, I handle it myself.","Ask friends/ Neighbors","Only during emergencies","Personal Safety/Home Security;Overpricing (Lack of transparency);Punctuality","2","I don't verify; I just keep an eye on them while they work.","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/18 2:58:52 PM GMT+5:30","Main City/ Commercial Areas","Independent House","Student","2-4 Members","No, someone else in the house handles it.","I have a fixed person I always call","Once every 2-3 months","Personal Safety/Home Security;Quality of Work (Skill level)","3","","Yes, definitely","Only for major repairs","4","Yes"
"2026/02/18 4:21:06 PM GMT+5:30","Main City/ Commercial Areas","PG/ Hostel","Working Professional (Full-time/ Part-time)","2-4 Members","I share the responsibility with family members.","Local Labor Chowk or nearby shops","Only during emergencies","Personal Safety/Home Security;Punctuality;Unprofessional behavior or language","2","None","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/18 6:46:02 PM GMT+5:30","Main City/ Commercial Areas","Independent House","Student","2-4 Members","I share the responsibility with family members.","Ask friends/ Neighbors","Once every 2-3 months","Personal Safety/Home Security;Quality of Work (Skill level)","2","First i ask that from where he belongs and How long have you been working?","Yes, definitely","Yes, for peace of mind","5","Yes"
"2026/02/18 9:34:38 PM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","5+ Members","I share the responsibility with family members.","I have a fixed person I always call","Twice a year","Quality of Work (Skill level)","4","I don't care","No, I only care about the price","No, it should be free","4","Yes"
"2026/02/18 10:19:19 PM GMT+5:30","University/ Institutional Hubs","PG/ Hostel","Student","5+ Members","No, someone else in the house handles it.","Local Labor Chowk or nearby shops","Once every 2-3 months","Punctuality","3","none","Maybe, if the price is same","No, it should be free","1","No"
"2026/02/19 5:00:02 PM GMT+5:30","Posh Residential Areas","Independent House","Business Owner/ Entrepreneur","5+ Members","No, someone else in the house handles it.","Local Labor Chowk or nearby shops","More than once a month","Personal Safety/Home Security","5","","Yes, definitely","Yes, for peace of mind","5","Yes"
