,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2025-01-03,423.136430986355,390.6033486632478,461.96701791420935,423.136430986355,423.136430986355,2.569584358413618,2.569584358413618,2.569584358413618,2.569584358413618,2.569584358413618,2.569584358413618,0.0,0.0,0.0,425.7060153447686
1,2025-01-06,416.8786662554871,386.1355153237913,454.72807416065143,416.8786662554871,416.8786662554871,3.0505420816235023,3.0505420816235023,3.0505420816235023,3.0505420816235023,3.0505420816235023,3.0505420816235023,0.0,0.0,0.0,419.9292083371106
2,2025-01-07,414.7927446785311,380.8964196849797,450.41043700737487,414.7927446785311,414.7927446785311,2.3375104796069173,2.3375104796069173,2.3375104796069173,2.3375104796069173,2.3375104796069173,2.3375104796069173,0.0,0.0,0.0,417.130255158138
3,2025-01-08,412.70682310157514,382.86399696550336,454.7051794981404,412.70682310157514,412.70682310157514,5.016071851700936,5.016071851700936,5.016071851700936,5.016071851700936,5.016071851700936,5.016071851700936,0.0,0.0,0.0,417.72289495327607
4,2025-01-10,408.53497994766315,373.8004810138783,448.9608120508968,408.53497994766315,408.53497994766315,2.5695843584193043,2.5695843584193043,2.5695843584193043,2.5695843584193043,2.5695843584193043,2.5695843584193043,0.0,0.0,0.0,411.10456430608247
5,2025-01-13,402.27721521679524,369.2974365040099,441.5468230496858,402.27721521679524,402.27721521679524,3.0505420816183286,3.0505420816183286,3.0505420816183286,3.0505420816183286,3.0505420816183286,3.0505420816183286,0.0,0.0,0.0,405.3277572984136
6,2025-01-14,400.1912936398393,367.8306214286301,438.60907661460396,400.1912936398393,400.1912936398393,2.337510479611945,2.337510479611945,2.337510479611945,2.337510479611945,2.337510479611945,2.337510479611945,0.0,0.0,0.0,402.5288041194512
7,2025-01-15,398.1053720628833,368.8170595985591,436.97662625810295,398.1053720628833,398.1053720628833,5.016071851700442,5.016071851700442,5.016071851700442,5.016071851700442,5.016071851700442,5.016071851700442,0.0,0.0,0.0,403.1214439145837
8,2025-01-16,396.01945048592734,363.05409596926444,432.51015834123893,396.01945048592734,396.01945048592734,1.3505874261356916,1.3505874261356916,1.3505874261356916,1.3505874261356916,1.3505874261356916,1.3505874261356916,0.0,0.0,0.0,397.370037912063
9,2025-01-17,393.9335289182069,361.5588160002661,432.2178560129042,393.9335289182069,393.9335289182069,2.5695843583978704,2.5695843583978704,2.5695843583978704,2.5695843583978704,2.5695843583978704,2.5695843583978704,0.0,0.0,0.0,396.5031132766048
10,2025-01-21,385.5898426473254,354.2290378198573,423.4992223560022,385.5898426473254,385.5898426473254,2.337510479616972,2.337510479616972,2.337510479616972,2.337510479616972,2.337510479616972,2.337510479616972,0.0,0.0,0.0,387.92735312694236
11,2025-01-22,383.50392107960494,352.78435540151594,422.52099230407504,383.50392107960494,383.50392107960494,5.01607185169984,5.01607185169984,5.01607185169984,5.01607185169984,5.01607185169984,5.01607185169984,0.0,0.0,0.0,388.5199929313048
12,2025-01-23,381.4179995118846,348.31714540123926,418.46637206755975,381.4179995118846,381.4179995118846,1.3505874261381143,1.3505874261381143,1.3505874261381143,1.3505874261381143,1.3505874261381143,1.3505874261381143,0.0,0.0,0.0,382.76858693802274
13,2025-01-24,379.3320779441642,349.55751558772107,415.9448342827505,379.3320779441642,379.3320779441642,2.5695843584035565,2.5695843584035565,2.5695843584035565,2.5695843584035565,2.5695843584035565,2.5695843584035565,0.0,0.0,0.0,381.9016623025678
14,2025-01-27,373.07431324100304,340.13360298047894,409.7137408649675,373.07431324100304,373.07431324100304,3.0505420815919146,3.0505420815919146,3.0505420815919146,3.0505420815919146,3.0505420815919146,3.0505420815919146,0.0,0.0,0.0,376.12485532259495
15,2025-01-28,370.98839167328265,338.7095212099106,408.2119045039178,370.98839167328265,370.98839167328265,2.337510479606678,2.337510479606678,2.337510479606678,2.337510479606678,2.337510479606678,2.337510479606678,0.0,0.0,0.0,373.32590215288934
16,2025-01-29,368.90247010556226,339.8959414738821,410.78753729462926,368.90247010556226,368.90247010556226,5.016071851699454,5.016071851699454,5.016071851699454,5.016071851699454,5.016071851699454,5.016071851699454,0.0,0.0,0.0,373.9185419572617
17,2025-01-30,366.8165485409676,331.4222307364159,405.2366445367259,366.8165485409676,366.8165485409676,1.350587426140538,1.350587426140538,1.350587426140538,1.350587426140538,1.350587426140538,1.350587426140538,0.0,0.0,0.0,368.1671359671081
18,2025-01-31,364.73062697637295,330.9880521616575,402.4717459355004,364.73062697637295,364.73062697637295,2.5695843584220475,2.5695843584220475,2.5695843584220475,2.5695843584220475,2.5695843584220475,2.5695843584220475,0.0,0.0,0.0,367.300211334795
19,2025-02-03,358.472862282589,326.1262034782055,395.73102294238754,358.472862282589,358.472862282589,3.050542081600436,3.050542081600436,3.050542081600436,3.050542081600436,3.050542081600436,3.050542081600436,0.0,0.0,0.0,361.52340436418945
20,2025-02-04,356.3869407179944,323.4213198132633,393.5060838869264,356.3869407179944,356.3869407179944,2.3375104796166033,2.3375104796166033,2.3375104796166033,2.3375104796166033,2.3375104796166033,2.3375104796166033,0.0,0.0,0.0,358.72445119761096
21,2025-02-05,354.30101915339975,325.91442267614127,392.69282746195455,354.30101915339975,354.30101915339975,5.0160718517017076,5.0160718517017076,5.0160718517017076,5.0160718517017076,5.0160718517017076,5.0160718517017076,0.0,0.0,0.0,359.3170910051015
22,2025-02-06,352.21509758880507,319.0995200366249,387.49654885280904,352.21509758880507,352.21509758880507,1.3505874261429616,1.3505874261429616,1.3505874261429616,1.3505874261429616,1.3505874261429616,1.3505874261429616,0.0,0.0,0.0,353.56568501494803
23,2025-02-07,350.1291760242105,316.5611680843591,385.8546237590551,350.1291760242105,350.1291760242105,2.5695843584277336,2.5695843584277336,2.5695843584277336,2.5695843584277336,2.5695843584277336,2.5695843584277336,0.0,0.0,0.0,352.6987603826382
24,2025-02-10,343.8714113304265,311.80682415787714,381.78525037949703,343.8714113304265,343.8714113304265,3.0505420816089575,3.0505420816089575,3.0505420816089575,3.0505420816089575,3.0505420816089575,3.0505420816089575,0.0,0.0,0.0,346.92195341203546
25,2025-02-11,341.7854897926642,309.59025915020453,378.3365988185969,341.7854897926642,341.7854897926642,2.3375104796063098,2.3375104796063098,2.3375104796063098,2.3375104796063098,2.3375104796063098,2.3375104796063098,0.0,0.0,0.0,344.1230002722705
26,2025-02-12,339.6995682549018,310.1318362720407,380.526977748491,339.6995682549018,339.6995682549018,5.016071851701214,5.016071851701214,5.016071851701214,5.016071851701214,5.016071851701214,5.016071851701214,0.0,0.0,0.0,344.715640106603
27,2025-02-13,337.61364671713955,305.4159824188702,372.3293618159714,337.61364671713955,337.61364671713955,1.3505874261379203,1.3505874261379203,1.3505874261379203,1.3505874261379203,1.3505874261379203,1.3505874261379203,0.0,0.0,0.0,338.96423414327745
28,2025-02-14,335.52772517937717,304.79659899679643,373.602387448434,335.52772517937717,335.52772517937717,2.569584358419859,2.569584358419859,2.569584358419859,2.569584358419859,2.569584358419859,2.569584358419859,0.0,0.0,0.0,338.097309537797
29,2025-02-18,327.18403902832785,291.3282133244135,365.09112453333864,327.18403902832785,327.18403902832785,2.3375104796113364,2.3375104796113364,2.3375104796113364,2.3375104796113364,2.3375104796113364,2.3375104796113364,0.0,0.0,0.0,329.5215495079392
30,2025-02-19,325.09811749056547,295.69311266521305,364.3178135632026,325.09811749056547,325.09811749056547,5.016071851700611,5.016071851700611,5.016071851700611,5.016071851700611,5.016071851700611,5.016071851700611,0.0,0.0,0.0,330.11418934226606
31,2025-02-20,323.01219595280315,289.9560182618751,361.2443866000489,323.01219595280315,323.01219595280315,1.350587426147809,1.350587426147809,1.350587426147809,1.350587426147809,1.350587426147809,1.350587426147809,0.0,0.0,0.0,324.36278337895095
32,2025-02-21,320.9262744150409,289.6891783799774,357.0354967044412,320.9262744150409,320.9262744150409,2.56958435842479,2.56958435842479,2.56958435842479,2.56958435842479,2.56958435842479,2.56958435842479,0.0,0.0,0.0,323.49585877346567
33,2025-02-24,314.66852320836404,280.079689627162,353.9166207558083,314.66852320836404,314.66852320836404,3.050542081612305,3.050542081612305,3.050542081612305,3.050542081612305,3.050542081612305,3.050542081612305,0.0,0.0,0.0,317.71906528997636
34,2025-02-25,312.58260613947175,279.5316155655003,352.1477044687693,312.58260613947175,312.58260613947175,2.337510479608703,2.337510479608703,2.337510479608703,2.337510479608703,2.337510479608703,2.337510479608703,0.0,0.0,0.0,314.92011661908043
35,2025-02-26,310.49668907057946,278.2741964986233,352.1859870257498,310.49668907057946,310.49668907057946,5.016071851700009,5.016071851700009,5.016071851700009,5.016071851700009,5.016071851700009,5.016071851700009,0.0,0.0,0.0,315.5127609222795
36,2025-02-27,308.4107720016872,274.77284801074114,347.32844871957724,308.4107720016872,308.4107720016872,1.3505874261387785,1.3505874261387785,1.3505874261387785,1.3505874261387785,1.3505874261387785,1.3505874261387785,0.0,0.0,0.0,309.76135942782594
37,2025-02-28,306.3248549327949,271.8824966236936,345.00284022933005,306.3248549327949,306.3248549327949,2.569584358416916,2.569584358416916,2.569584358416916,2.569584358416916,2.569584358416916,2.569584358416916,0.0,0.0,0.0,308.8944392912118
38,2025-03-03,300.06710372611803,268.6838809208719,339.368317487019,300.06710372611803,300.06710372611803,3.0505420816047613,3.0505420816047613,3.0505420816047613,3.0505420816047613,3.0505420816047613,3.0505420816047613,0.0,0.0,0.0,303.1176458077228
